Year,Brunei Darussalam,Cambodia,Indonesia,Lao P.D.R.,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
1980,0,0,99.296,1.913,26.757,0,37.082,12.082,33.422,35.357
1981,0,0,110.848,1.118,27.321,0,40.735,14.367,35.999,17.617
1982,0,0,113.799,1.119,29.278,0,42.441,15.879,37.799,23.369
1983,0,0,103.149,2.047,32.745,0,37.953,18.011,41.366,35.204
1984,0,0,107.218,2.93,37.087,0,35.86,19.563,43.179,61.171
1985,4.831,0,107.062,3.685,34.09,0,34.973,18.573,40.185,19.045
1986,3.291,0.205,101.22,2.577,30.303,0,34.129,18.78,44.52,43.009
1987,3.872,0.141,95.214,1.815,34.529,0,37.932,21.629,52.204,53.385
1988,3.689,0.276,107.279,1.182,37.845,0,43.293,26.551,63.704,29.501
1989,4.109,0.346,122.582,1.46,41.678,0,48.652,31.436,74.637,7.991
1990,4.923,0.899,138.258,1.742,47.236,0,50.508,38.892,88.467,8.217
1991,5.254,2.011,154.558,2.053,53.51,0,51.784,45.465,101.247,9.704
1992,5.526,2.439,168.28,2.354,64.452,0,60.422,52.131,115.576,12.528
1993,5.588,2.427,190.913,2.652,72.866,0,62.037,60.604,128.889,16.736
1994,6.002,2.765,213.727,3.081,81.138,0,73.159,73.689,146.684,20.712
1995,7.153,3.441,244.227,3.579,96.628,0,84.644,87.813,169.279,26.407
1996,7.204,3.507,274.722,3.726,109.854,0,94.65,96.293,183.035,31.352
1997,7.043,3.443,260.68,3.515,108.78,0,94.106,100.124,150.18,34.146
1998,5.353,3.13,115.323,1.334,78.634,5.154,74.492,85.728,113.676,34.58
1999,5.779,3.513,169.158,1.415,86.203,6.439,85.64,86.287,126.539,36.444
2000,6.65,3.667,179.482,1.72,102.149,7.736,83.667,96.077,126.132,39.585
2001,6.206,3.992,174.507,1.757,101.054,7.131,78.921,89.794,120.105,41.297
2002,6.475,4.289,212.807,1.844,109.833,6.921,84.307,92.538,134.177,44.563
2003,7.266,4.665,255.428,2.26,120.025,8.881,87.039,97.646,152.142,50.233
2004,8.723,5.334,279.556,2.651,135.869,10.754,95.002,115.034,172.752,62.877
2005,10.561,6.286,310.815,3.079,150.356,12.126,107.42,127.808,189.084,73.197
2006,12.71,7.267,396.293,3.934,170.514,13.585,127.653,148.627,221.579,84.301
2007,13.571,8.63,470.144,4.757,202.869,17.855,155.98,180.942,263.007,98.426
2008,15.975,10.341,558.582,5.946,242.08,25.47,181.007,193.617,290.97,124.756
2009,11.893,10.391,577.539,6.431,212.026,30.864,176.132,194.15,281.399,129.022
2010,13.707,11.232,755.256,7.506,258.844,38.084,208.369,239.808,340.928,143.212
2011,18.527,12.817,892.59,8.964,302.643,53.916,234.217,279.357,370.929,171.312
2012,19.047,14.056,919.002,10.194,319.153,59,261.92,295.093,397.722,195.169
2013,18.092,15.227,916.646,11.972,328.074,60.903,283.903,307.576,420.364,212.728
2014,17.098,16.702,891.051,13.266,343.088,63.153,297.484,314.864,407.373,232.888
2015,12.931,18.082,860.741,14.418,301.36,62.655,306.446,307.999,401.142,236.795
2016,11.399,20.043,932.066,15.905,301.918,60.09,318.627,319.03,413.497,252.146
2017,12.128,22.206,1015.488,17.055,319.249,61.267,328.481,343.273,456.523,277.071
2018,13.568,24.598,1042.711,18.131,358.994,66.699,346.842,376.87,506.547,304.47
2019,13.47,27.087,1119.452,18.77,365.283,68.802,376.823,376.837,543.923,331.818
2020,12.005,25.771,1062.532,18.511,337.612,81.257,361.751,348.392,500.525,346.31
2021,14.01,26.601,1187.732,18.533,373.034,65.16,394.086,423.797,505.523,369.736
2022,16.639,28.544,1318.807,15.304,407.923,56.757,404.261,466.789,536.16,406.452
